distance_km,delivery_days,sla_days
571.1,2.7,5
695.5,3.5,5
149.1,1.0,3
510.8,2.9,5
121.3,1.0,3
594.3,3.2,5
113.4,1.0,3
752.0,4.1,5
153.1,1.4,3
769.2,3.5,5
650.7,2.9,5
495.3,3.0,5
637.0,3.1,5
646.3,3.8,5
759.5,3.6,5
240.0,1.8,3
492.6,2.5,5
121.3,1.0,3
512.1,3.2,5
178.5,1.0,3
473.7,2.0,5
479.3,2.2,5
399.5,2.2,3
442.0,1.6,5
622.9,3.4,5
649.4,3.0,5
419.1,2.6,5
499.7,1.5,5
748.4,3.4,5
139.8,1.0,3
137.8,1.0,3
115.8,1.0,3
543.4,2.6,5
364.0,1.7,3
630.7,3.1,5
553.4,2.8,5
300.2,1.1,3
723.8,3.9,5
621.9,3.4,5
252.9,1.4,3
323.1,1.8,3
285.8,1.5,3
168.2,1.7,3
160.8,1.0,3
752.1,3.6,5
378.4,1.6,3
337.5,1.3,3
597.3,2.5,5
464.7,2.0,5
752.1,3.7,5
635.2,3.3,5
409.5,2.1,5
332.3,1.4,3
790.0,4.3,5
588.3,3.2,5
763.4,3.8,5
138.9,1.0,3
687.9,3.7,5
527.8,2.7,5
141.4,1.0,3
491.2,2.4,5
564.6,2.9,5
59.2,1.0,3
390.7,2.0,3
669.0,2.8,5
271.5,1.9,3
393.9,2.5,3
381.7,1.8,3
276.4,1.5,3
738.8,2.7,5
636.0,2.7,5
132.9,1.0,3
797.8,3.6,5
709.4,3.8,5
262.9,2.1,3
677.7,2.9,5
129.8,1.0,3
799.3,4.1,5
549.3,3.4,5
537.6,2.2,5
117.8,1.0,3
722.8,4.3,5
71.7,1.0,3
230.6,1.0,3
157.3,1.0,3
632.6,3.0,5
198.7,1.3,3
733.0,3.8,5
542.2,2.0,5
77.1,1.0,3
54.1,1.0,3
88.7,1.0,3
504.4,2.3,5
651.1,3.0,5
228.9,1.4,3
687.1,3.7,5
92.9,1.0,3
650.7,2.6,5
745.8,3.9,5
629.1,2.7,5
573.6,3.0,5
678.5,2.8,5
80.1,1.0,3
201.3,1.0,3
143.7,1.0,3
428.4,2.4,5
608.9,3.1,5
522.5,2.4,5
688.3,4.0,5
166.4,1.0,3
601.0,3.0,5
194.8,1.1,3
253.1,1.0,3
582.4,3.1,5
785.2,3.7,5
508.7,2.4,5
90.9,1.0,3
512.2,2.1,5
81.8,1.0,3
713.1,4.2,5
582.2,3.9,5
179.8,1.0,3
118.8,1.0,3
187.6,1.0,3
785.0,3.8,5
393.9,1.9,3
638.1,2.7,5
527.3,2.9,5
479.3,2.6,5
158.8,1.0,3
759.5,4.1,5
276.0,2.2,3
483.5,2.5,5
574.8,2.7,5
536.9,2.6,5
755.4,4.0,5
161.3,1.0,3
431.3,2.2,5
353.0,1.6,3
405.6,2.8,5
139.4,1.0,3
150.6,1.4,3
258.6,1.0,3
278.5,1.6,3
370.9,2.0,3
508.2,2.2,5
526.0,2.7,5
358.9,2.3,3
356.6,1.7,3
213.2,1.0,3
491.2,2.4,5
287.8,1.1,3
77.0,1.0,3
363.8,1.8,3
405.6,1.3,5
219.2,1.0,3
479.3,2.6,5
474.3,2.2,5
576.5,1.9,5
536.0,3.0,5
539.3,2.8,5
287.2,1.2,3
640.6,2.7,5
461.9,2.6,5
373.6,2.0,3
519.5,3.6,5
320.5,1.8,3
434.6,2.3,5
602.5,2.9,5
714.8,3.9,5
740.8,4.0,5
427.7,2.6,5
440.2,2.0,5
649.9,3.1,5
285.8,1.2,3
678.0,3.7,5
420.6,2.7,5
136.9,1.0,3
104.0,1.0,3
681.5,3.5,5
91.7,1.0,3
260.5,1.7,3
300.6,1.0,3
179.7,1.0,3
285.4,1.1,3
607.0,2.1,5
61.0,1.0,3
670.4,3.0,5
692.4,3.4,5
329.2,2.1,3
165.2,1.0,3
500.6,2.1,5
139.8,1.0,3
323.7,2.0,3
768.8,3.5,5
796.6,3.6,5
629.1,3.4,5
283.2,1.3,3
565.7,3.1,5
579.1,2.9,5
