temperature,pressure,speed,humidity,defects
78.51,2.933,108.0,57.5,35.1
69.82,2.35,93.2,33.9,31.3
74.94,2.003,104.0,72.5,34.1
73.95,2.186,105.7,60.7,31.8
68.92,2.194,118.4,60.7,35.2
67.18,2.516,98.0,50.9,40.0
78.43,2.418,103.8,58.6,29.8
73.25,2.399,85.1,37.7,32.7
69.89,2.686,111.9,67.0,31.2
74.52,2.602,92.4,33.8,34.6
80.64,2.595,94.4,66.5,35.1
63.6,2.623,99.8,72.4,32.7
67.52,2.685,84.4,53.6,33.6
70.39,1.868,102.3,55.5,32.9
82.31,2.391,109.7,45.6,40.3
76.41,1.846,102.9,78.5,27.1
78.84,2.511,84.1,66.7,38.1
69.3,2.499,98.8,48.4,33.0
69.4,2.814,107.4,38.7,36.2
77.24,2.856,81.2,41.0,29.1
75.29,2.561,89.3,53.2,30.3
77.74,2.35,108.8,77.1,35.8
74.06,2.646,102.7,66.7,33.8
76.39,2.342,104.1,40.8,35.3
75.79,2.5,118.6,73.0,39.1
78.89,2.796,104.7,48.9,30.2
79.04,2.333,106.6,72.6,38.5
66.9,2.742,127.1,42.1,34.2
63.76,2.703,97.9,60.9,29.7
80.01,2.214,92.0,76.3,29.9
80.94,2.792,104.3,42.9,37.6
69.9,2.71,104.4,64.6,25.5
65.7,2.531,94.7,79.4,32.4
75.5,2.271,89.7,37.5,28.3
79.65,2.242,123.1,34.4,37.5
83.99,2.339,103.3,63.7,36.3
77.58,2.663,92.7,47.0,37.4
73.14,2.213,109.2,33.6,33.4
70.53,2.631,98.9,53.8,30.3
75.06,2.127,97.5,67.7,31.8
73.5,2.439,105.6,44.3,37.7
69.92,2.533,87.1,46.8,32.6
85.24,3.234,103.5,72.3,36.4
83.93,2.087,119.1,56.0,37.4
80.68,2.942,104.7,72.1,31.4
70.4,2.545,96.2,52.3,33.2
79.28,2.623,94.9,77.6,29.3
78.2,2.536,95.9,62.5,36.6
77.21,2.633,97.5,35.8,34.6
81.25,2.454,96.2,74.3,42.4
78.18,2.936,109.2,54.5,32.5
78.7,2.363,82.7,37.1,32.8
78.18,2.84,108.6,37.6,41.1
76.7,2.307,96.2,64.4,37.4
66.08,2.482,103.8,32.4,29.4
75.42,2.178,88.7,44.3,33.3
72.22,2.637,113.3,37.0,34.3
68.6,2.934,112.5,52.1,34.1
83.41,2.477,109.6,50.7,35.1
83.64,2.441,84.9,56.1,34.5
81.8,2.166,108.3,44.0,31.7
76.28,2.431,104.0,31.6,34.9
81.75,2.022,83.9,60.7,35.3
