timestamp,thickness
1,2.5169
2,2.5704
3,2.5045
4,2.5322
5,2.3975
6,2.4976
7,2.4578
8,2.4391
9,2.4561
10,2.4833
11,2.5458
12,2.4337
13,2.5015
14,2.4758
15,2.4836
16,2.5501
17,2.5269
18,2.5669
19,2.4923
20,2.4652
21,2.4888
22,2.5121
23,2.5088
24,2.4458
25,2.5045
26,2.5114
27,2.6259
28,2.5938
29,2.4573
30,2.4856
31,2.4268
32,2.4705
33,2.5158
34,2.5603
35,2.4635
36,2.4673
37,2.3926
38,2.4919
39,2.4469
40,2.4735
41,2.4562
42,2.4953
43,2.4121
44,2.4266
45,2.6065
46,2.4356
47,2.4452
48,2.5918
49,2.6453
50,2.4414
51,2.4816
52,2.5171
53,2.5864
54,2.4507
55,2.4877
56,2.5389
57,2.5217
58,2.4812
59,2.4933
60,2.4313
61,2.4881
62,2.4867
63,2.5116
64,2.4722
65,2.5236
66,2.5506
67,2.5078
68,2.5176
69,2.5027
70,2.5
71,2.4639
72,2.5158
73,2.4951
74,2.6047
75,2.5787
76,2.5193
77,2.4618
78,2.4444
79,2.5596
80,2.5131
81,2.774
82,2.6628
83,2.7964
84,2.7727
85,2.6945
86,2.7264
87,2.7632
88,2.7526
89,2.7354
90,2.7448
91,2.7374
92,2.7576
93,2.8236
94,2.6217
95,2.7382
96,2.5088
97,2.5148
98,2.4814
99,2.4122
100,2.5164
101,2.5864
102,2.4233
103,2.5432
104,2.4836
105,2.4969
106,2.4474
107,2.4833
108,2.565
109,2.5291
110,2.5866
111,2.5589
112,2.522
113,2.5872
114,2.5219
115,2.5414
116,2.4852
117,2.5033
118,2.4651
119,2.5495
120,2.4411
